Tool Name,Category,Launch Date,Free/Paid,Monthly Traffic,Popularity Score
ChatGPT,Text,2022-11,Free/Paid,1800000000,98
MidJourney,Image,2022-07,Paid,50000000,95
Runway Gen-2,Video,2023-03,Paid,12000000,90
GitHub Copilot,Code,2021-10,Paid,8000000,88
Stable Diffusion,Image,2022-08,Free,60000000,92
Claude AI,Text,2023-03,Free/Paid,30000000,89
Pika Labs,Video,2023-09,Free/Paid,5000000,85
Replit Ghostwriter,Code,2022-05,Paid,3500000,80
Canva AI,Image,2023-01,Free/Paid,70000000,91
Synthesia,Video,2020-06,Paid,10000000,84
Copy.ai,Text,2021-05,Free/Paid,2000000,78
Leonardo.ai,Image,2023-04,Free/Paid,9000000,83
Codeium,Code,2022-09,Free,1500000,75
HeyGen,Video,2023-06,Paid,8000000,82
Perplexity AI,Text,2022-12,Free,25000000,87
